name	chars	location
what-did-i-get-done	255	/Users/tonours/.agents/skills/what-did-i-get-done/SKILL.md
workflow-from-chats	412	/Users/tonours/.agents/skills/workflow-from-chats/SKILL.md
commit	215	/Users/tonours/.pi/agent/npm/node_modules/mitsupi/skills/commit/SKILL.md
github	310	/Users/tonours/.pi/agent/npm/node_modules/mitsupi/skills/github/SKILL.md
autoresearch-create	496	/Users/tonours/.pi/agent/npm/node_modules/pi-autoresearch/skills/autoresearch-create/SKILL.md
autoresearch-finalize	412	/Users/tonours/.pi/agent/npm/node_modules/pi-autoresearch/skills/autoresearch-finalize/SKILL.md
autoresearch-hooks	459	/Users/tonours/.pi/agent/npm/node_modules/pi-autoresearch/skills/autoresearch-hooks/SKILL.md
mcp-scripting	273	/Users/tonours/.pi/agent/npm/node_modules/pi-mcp-adapter/skills/mcp-scripting/SKILL.md
council-mode	375	/Users/tonours/.pi/agent/npm/node_modules/pi-subagents/skills/council-mode/SKILL.md
pi-subagents	512	/Users/tonours/.pi/agent/npm/node_modules/pi-subagents/skills/pi-subagents/SKILL.md
architect	454	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/architect/SKILL.md
automate-me	527	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/automate-me/SKILL.md
blast-radius	493	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/blast-radius/SKILL.md
create-verification-skill	508	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/create-verification-skill/SKILL.md
figure-it-out	555	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/figure-it-out/SKILL.md
how	542	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/how/SKILL.md
interrogate	481	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/interrogate/SKILL.md
maintain-verification-skill	507	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/maintain-verification-skill/SKILL.md
poteto-mode	394	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/poteto-mode/SKILL.md
principle-boundary-discipline	441	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/principle-boundary-discipline/SKILL.md
principle-build-the-lever	488	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/principle-build-the-lever/SKILL.md
principle-encode-lessons-in-structure	442	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/principle-encode-lessons-in-structure/SKILL.md
principle-exhaust-the-design-space	416	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/principle-exhaust-the-design-space/SKILL.md
principle-experience-first	387	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/principle-experience-first/SKILL.md
principle-fix-root-causes	389	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/principle-fix-root-causes/SKILL.md
principle-foundational-thinking	442	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/principle-foundational-thinking/SKILL.md
principle-guard-the-context-window	412	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/principle-guard-the-context-window/SKILL.md
principle-laziness-protocol	402	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/principle-laziness-protocol/SKILL.md
principle-make-operations-idempotent	422	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/principle-make-operations-idempotent/SKILL.md
principle-migrate-callers-then-delete-legacy-apis	442	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/principle-migrate-callers-then-delete-legacy-apis/SKILL.md
principle-minimize-reader-load	436	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/principle-minimize-reader-load/SKILL.md
principle-model-the-domain	398	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/principle-model-the-domain/SKILL.md
principle-never-block-on-the-human	433	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/principle-never-block-on-the-human/SKILL.md
principle-outcome-oriented-execution	439	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/principle-outcome-oriented-execution/SKILL.md
principle-prove-it-works	420	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/principle-prove-it-works/SKILL.md
principle-redesign-from-first-principles	423	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/principle-redesign-from-first-principles/SKILL.md
principle-separate-before-serializing-shared-state	461	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/principle-separate-before-serializing-shared-state/SKILL.md
principle-sequence-verifiable-units	505	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/principle-sequence-verifiable-units/SKILL.md
principle-subtract-before-you-add	395	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/principle-subtract-before-you-add/SKILL.md
principle-type-system-discipline	528	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/principle-type-system-discipline/SKILL.md
reflect	358	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/reflect/SKILL.md
show-me-your-work	534	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/show-me-your-work/SKILL.md
tdd	403	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/tdd/SKILL.md
teach	463	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/teach/SKILL.md
typescript-best-practices	298	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/typescript-best-practices/SKILL.md
unslop	233	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/unslop/SKILL.md
why	619	/Users/tonours/.pi/agent/npm/node_modules/@zenspc/pi-pstack/skills/why/SKILL.md
pi-lens-ast-grep	299	/Users/tonours/.pi/agent/npm/node_modules/pi-lens/skills/pi-lens-ast-grep/SKILL.md
pi-lens-lsp-navigation	357	/Users/tonours/.pi/agent/npm/node_modules/pi-lens/skills/pi-lens-lsp-navigation/SKILL.md
pi-lens-write-ast-grep-rule	335	/Users/tonours/.pi/agent/npm/node_modules/pi-lens/skills/pi-lens-write-ast-grep-rule/SKILL.md
pi-lens-write-tree-sitter-rule	362	/Users/tonours/.pi/agent/npm/node_modules/pi-lens/skills/pi-lens-write-tree-sitter-rule/SKILL.md
